#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,Player Participation,GameClockIn,Strength,ScoutedPlayer,NonScoutedPlayer,Win/Loss,Chance?,Shot Location,Zone,FaceOffLRC,Entry Origin,Entry,Successful?,Breakout
312,"GM26 2019-02-01 Colgate at RPI P3, NZ Forecheck 010",NZ Forecheck,00:24:25.12,00:24:31.36,00:00:06.4060000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:34,Even,,,,,,,,,,,
313,"GM26 2019-02-01 Colgate at RPI P3, Opponent Forecheck 012",Opponent Forecheck,00:24:25.38,00:24:41.22,00:00:15.7320000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:34,Even,,,,,,,,,,,
314,"GM26 2019-02-01 Colgate at RPI P3, Shot Against 013",Shot Against,00:24:28.32,00:24:42.31,00:00:13.9810000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:22,Even,,,,wide,low,,,,,,
315,"GM26 2019-02-01 Colgate at RPI P3, Giveaway 008",Giveaway,00:24:30.03,00:24:45.02,00:00:14.9820000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:26,Even,21 Wiffen,,,,,dz,,,,,
316,"GM26 2019-02-01 Colgate at RPI P3, Defensive Zone 008",Defensive Zone,00:24:35.23,00:24:46.54,00:00:11.5120000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:24,Even,,,,,,,,,,,
317,"GM26 2019-02-01 Colgate at RPI P3, Jewell 012",Jewell,00:24:36.50,00:24:40.48,00:00:03.9710000,3,,,,,,,,,,,,,,
318,"GM26 2019-02-01 Colgate at RPI P3, Breakout 012",Breakout,00:24:38.56,00:24:46.12,00:00:07.2740000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:19,Even,,,,,,,,,,,dz coverage
319,"GM26 2019-02-01 Colgate at RPI P3, Entry 008",Entry,00:24:41.17,00:24:51.15,00:00:09.9770000,3,"04 Grant, 08 Gornall, 21 Wiffen, 26 Marrello, 27 Bear, 31 Savory",12:16,Even,,,,,,,,breakout,dump,no,
320,"GM26 2019-02-01 Colgate at RPI P3, RPI Possession 031",RPI Possession,00:24:44.09,00:24:48.56,00:00:04.7880000,3,,12:22,Even,,,,,,,,,,,
321,"GM26 2019-02-01 Colgate at RPI P3, RPI Possession 032",RPI Possession,00:24:44.13,00:24:49.00,00:00:04.7880000,3,,12:22,Even,,,,,,,,,,,
322,"GM26 2019-02-01 Colgate at RPI P3, Opponent Possession 039",Opponent Possession,00:24:49.30,00:24:56.18,00:00:06.7900000,3,,12:16,Even,,,,,,,,,,,
323,"GM26 2019-02-01 Colgate at RPI P3, Opponent Possession 040",Opponent Possession,00:24:49.34,00:24:56.22,00:00:06.7900000,3,,12:16,Even,,,,,,,,,,,
324,"GM26 2019-02-01 Colgate at RPI P3, TeamShift 025",TeamShift,00:25:13.24,00:26:00.60,00:00:47.5980000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",12:15,Even,,,,,,,,,,,
325,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 057",Shift_TOI,00:25:13.34,00:26:08.31,00:00:54.9550000,3,"03 Samec, 06 Ferner, 09 Moore, 12 Zieky, 17 Burgess, 31 Savory",12:15,Even,17 Burgess,,,,,,,,,,
326,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 058",Shift_TOI,00:25:13.36,00:26:40.19,00:01:26.7200000,3,"03 Samec, 06 Ferner, 09 Moore, 19 Linden, 31 Savory, 39 Lacka",12:15,Even,09 Moore,,,,,,,,,,
327,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 059",Shift_TOI,00:25:13.42,00:26:05.28,00:00:51.7680000,3,"06 Ferner, 09 Moore, 12 Zieky, 17 Burgess, 24 Reilly, 31 Savory",12:15,Even,24 Reilly,,,,,,,,,,
328,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 060",Shift_TOI,00:25:13.43,00:26:10.36,00:00:56.8900000,3,"03 Samec, 06 Ferner, 09 Moore, 12 Zieky, 19 Linden, 31 Savory",12:15,Even,12 Zieky,,,,,,,,,,
329,"GM26 2019-02-01 Colgate at RPI P3, Shift_TOI 061",Shift_TOI,00:25:13.53,00:26:01.34,00:00:47.6810000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",12:15,Even,23 Johnson,,,,,,,,,,
330,"GM26 2019-02-01 Colgate at RPI P3, NZ Forecheck 011",NZ Forecheck,00:25:14.47,00:25:29.25,00:00:14.6310000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",12:12,Even,,,,,,,,,,,
331,"GM26 2019-02-01 Colgate at RPI P3, Faceoff 012",Faceoff,00:25:14.58,00:25:27.57,00:00:12.9800000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",12:15,Even,17 Burgess,21 Penner,loss,,,nz,right,,,,
332,"GM26 2019-02-01 Colgate at RPI P3, Shot Against 014",Shot Against,00:25:15.21,00:25:29.20,00:00:13.9810000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",12:03,Even,,,,blocked,rush,,,,,,
333,"GM26 2019-02-01 Colgate at RPI P3, Shot Against 015",Shot Against,00:25:16.28,00:25:30.27,00:00:13.9810000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",12:02,Even,,,,yes,rush,,,,,,
334,"GM26 2019-02-01 Colgate at RPI P3, SyncPoint 023",SyncPoint,00:25:17.16,00:25:19.16,00:00:02.0020000,3,,12:15,Even,,,,,,,,,,,
335,"GM26 2019-02-01 Colgate at RPI P3, SyncPoint 024",SyncPoint,00:25:17.20,00:25:19.20,00:00:02.0020000,3,,12:15,Even,,,,,,,,,,,
336,"GM26 2019-02-01 Colgate at RPI P3, Shot Against 016",Shot Against,00:25:19.09,00:25:33.08,00:00:13.9810000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",11:59,Even,,,,yes,net front,,,,,,
337,"GM26 2019-02-01 Colgate at RPI P3, Opponent Entry 019",Opponent Entry,00:25:19.50,00:25:29.49,00:00:09.9770000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",12:06,Even,,,,,,,,nz,possession,yes,
338,"GM26 2019-02-01 Colgate at RPI P3, Opponent Possession 041",Opponent Possession,00:25:20.51,00:25:52.29,00:00:31.6320000,3,,12:12,Even,,,,,,,,,,,
339,"GM26 2019-02-01 Colgate at RPI P3, Opponent Possession 042",Opponent Possession,00:25:20.55,00:25:52.33,00:00:31.6320000,3,,12:12,Even,,,,,,,,,,,
340,"GM26 2019-02-01 Colgate at RPI P3, Defensive Zone 009",Defensive Zone,00:25:23.26,00:25:53.48,00:00:30.3640000,3,"09 Moore, 12 Zieky, 17 Burgess, 23 Johnson, 24 Reilly, 31 Savory",12:04,Even,,,,,,,,,,,
