#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,GameClockIn,Strength,Smith,Weber,Jewell,Lysyj,Red Comments,Jewell Comments
458,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 078",Shift_TOI,00:17:10.34,00:17:16.02,00:00:05.4720000,2,07:59,Even,,,,,,
459,"GM26 2019-02-01 Colgate at RPI P2, Breakout 017",Breakout,00:17:12.41,00:17:21.58,00:00:09.2930000,2,7:52,Even,,,,,,
460,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 079",Shift_TOI,00:17:12.55,00:19:15.17,00:02:02.3720000,2,07:58,Even,,,,,,
461,"GM26 2019-02-01 Colgate at RPI P2, Entry 020",Entry,00:17:14.19,00:17:24.18,00:00:09.9770000,2,7:51,Even,,,,,,
462,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 049",RPI Possession,00:17:15.13,00:17:30.19,00:00:15.0980000,2,07:55,Even,,,,,,
463,"GM26 2019-02-01 Colgate at RPI P2, RPI Possession 050",RPI Possession,00:17:15.17,00:17:30.23,00:00:15.0980000,2,07:55,Even,,,,,,
464,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 044",TeamShift,00:17:16.07,00:17:20.09,00:00:04.0370000,2,07:54,Even,,,,,,
465,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 080",Shift_TOI,00:17:16.17,00:17:26.11,00:00:09.8930000,2,07:53,Even,,,,,,
466,"GM26 2019-02-01 Colgate at RPI P2, Offensive Zone 016",Offensive Zone,00:17:17.00,00:17:38.36,00:00:21.6050000,2,7:50,Even,,,,,,
467,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 081",Shift_TOI,00:17:19.00,00:19:11.18,00:01:52.2960000,2,07:51,Even,,,,,,
468,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 045",TeamShift,00:17:19.51,00:17:26.15,00:00:06.3900000,2,07:50,Even,,,,,,
469,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 082",Shift_TOI,00:17:21.22,00:19:11.19,00:01:49.9430000,2,07:49,Even,,,,,,
470,"GM26 2019-02-01 Colgate at RPI P2, TeamShift 046",TeamShift,00:17:26.19,00:17:52.07,00:00:25.8090000,2,07:43,Even,,,,,,
471,"GM26 2019-02-01 Colgate at RPI P2, Shift_TOI 083",Shift_TOI,00:17:28.26,00:19:15.18,00:01:46.8740000,2,07:42,Even,,,,,,
472,"GM26 2019-02-01 Colgate at RPI P2, Opponent Possession 047",Opponent Possession,00:17:30.49,00:18:06.39,00:00:35.8360000,2,07:40,Even,,,,,,
