#,Name,ClipType,Media In,Media Out,Media Duration,NHL Period,Player Participation,GameClockIn,Strength,ScoutedPlayer,NonScoutedPlayer,Win/Loss,Chance?,Shot Location,Zone,FaceOffLRC,Entry Origin,Entry,Successful?,Breakout
55,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Entry 003",Opponent Entry,00:02:59.17,00:03:09.15,00:00:09.9770000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:14,Even,,,,,,,,nz,dump,yes,
56,"GM30 2019-02-16 Quinnipiac at RPI P3, RPI Possession 004",RPI Possession,00:02:59.49,00:03:01.12,00:00:01.3850000,3,,18:18,Even,,,,,,,,,,,
57,"GM30 2019-02-16 Quinnipiac at RPI P3, NZ Forecheck 002",NZ Forecheck,00:02:59.60,00:03:07.00,00:00:07.0070000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:15,Even,,,,,,,,,,,
58,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Forecheck 001",Opponent Forecheck,00:03:01.02,00:03:10.54,00:00:09.8770000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:14,Even,,,,,,,,,,,
59,"GM30 2019-02-16 Quinnipiac at RPI P3, Opponent Possession 005",Opponent Possession,00:03:01.20,00:03:09.26,00:00:08.1080000,3,,18:17,Even,,,,,,,,,,,
60,"GM30 2019-02-16 Quinnipiac at RPI P3, Defensive Zone 005",Defensive Zone,00:03:04.56,00:03:15.24,00:00:10.4600000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:10,Even,,,,,,,,,,,
61,"GM30 2019-02-16 Quinnipiac at RPI P3, Breakout 003",Breakout,00:03:07.25,00:03:14.43,00:00:07.2910000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:06,Even,,,,,,,,,,,dz coverage
62,"GM30 2019-02-16 Quinnipiac at RPI P3, RPI Possession 005",RPI Possession,00:03:09.38,00:03:18.32,00:00:08.8920000,3,,18:08,Even,,,,,,,,,,,
63,"GM30 2019-02-16 Quinnipiac at RPI P3, Entry 001",Entry,00:03:09.53,00:03:19.52,00:00:09.9770000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:03,Even,,,,,,,,breakout,dump,no,
64,"GM30 2019-02-16 Quinnipiac at RPI P3, Shot Against 008",Shot Against,00:03:29.15,00:03:43.13,00:00:13.9810000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",18:00,Even,,,,yes,low,,,,,,
65,"GM30 2019-02-16 Quinnipiac at RPI P3, Shot Against 009",Shot Against,00:03:33.01,00:03:46.60,00:00:13.9810000,3,"03 Samec, 04 Grant, 07 Bowman, 17 Burgess, 19 Linden, 31 Savory",17:57,Even,,,,no,high,,,,,,
