,Game,Period,Time,Event,Poss,EventPoss
389,1,1,0.022008565,Zone_clear,Colgate,
183,1,1,0.022107176,Defensive_zone,Colgate,
121,1,1,0.02218125,Shot_against,Colgate,Colgate
122,1,1,0.02220301,Shot_against,Colgate,Colgate
390,1,1,0.022327315,Zone_clear,Colgate,
163,1,1,0.022354051,Breakout,Colgate,
240,1,1,0.022619444,Faceoff,Colgate,
283,1,1,0.022643403,NZ_forecheck,Colgate,
359,1,1,0.022657176,Opponent_entry,Colgate,
87,1,1,0.02268634,OppoPoss,Colgate,
184,1,1,0.022700347,Defensive_zone,Colgate,
258,1,1,0.02288206,Forecheck,Colgate,
378,1,1,0.023014699,Opponent_forecheck,Colgate,
360,1,1,0.023022338,Opponent_entry,Colgate,
391,1,1,0.023093519,Zone_clear,Colgate,
164,1,1,0.023125347,Breakout,Colgate,
259,1,1,0.023209028,Forecheck,Colgate,
361,1,1,0.023302662,Opponent_entry,Colgate,
241,1,1,0.02357662,Faceoff,Colgate,
284,1,1,0.023582407,NZ_forecheck,Colgate,
379,1,1,0.02361412,Opponent_forecheck,Colgate,
362,1,1,0.023615972,Opponent_entry,Colgate,
88,1,1,0.02362303,OppoPoss,Colgate,
269,1,1,0.023638079,Goalie_touch,Colgate,
392,1,1,0.02366088,Zone_clear,Colgate,
39,1,1,0.02367095,RPIPoss,RPI,
393,1,1,0.023673032,Zone_clear,RPI,
89,1,1,0.02370764,OppoPoss,Colgate,
185,1,1,0.023721412,Defensive_zone,Colgate,
123,1,1,0.02389861,Shot_against,Colgate,Colgate
124,1,1,0.02390949,Shot_against,Colgate,Colgate
165,1,1,0.024016551,Breakout,Colgate,
40,1,1,0.024039,RPIPoss,RPI,
215,1,1,0.024042361,Entry,RPI,
308,1,1,0.024056944,Offensive_zone,RPI,
132,1,1,0.024090162,Giveaway,RPI,RPI
90,1,1,0.024136,OppoPoss,Colgate,
334,1,1,0.024158102,Opponent_breakout,Colgate,
270,1,1,0.024190046,Goalie_touch,Colgate,
380,1,1,0.024192708,Opponent_forecheck,Colgate,
363,1,1,0.024196065,Opponent_entry,Colgate,
166,1,1,0.024213426,Breakout,Colgate,
41,1,1,0.02423762,RPIPoss,RPI,
216,1,1,0.024242477,Entry,RPI,
309,1,1,0.024252778,Offensive_zone,RPI,
109,1,1,0.02429132,Shot_for,RPI,RPI
335,1,1,0.024320023,Opponent_breakout,RPI,
91,1,1,0.02433252,OppoPoss,Colgate,
381,1,1,0.024363889,Opponent_forecheck,Colgate,
167,1,1,0.024392593,Breakout,Colgate,
42,1,1,0.02439873,RPIPoss,RPI,
260,1,1,0.024537037,Forecheck,RPI,
217,1,1,0.02453912,Entry,RPI,
92,1,1,0.02460556,OppoPoss,Colgate,
