"Game","Period","Time","Event","Poss","EventPoss","PossID","EventSeq"
1,1,0.01361863,"Shot_against","Colgate","Colgate",23,8
1,1,0.013640046,"Breakout","Colgate","",23,9
1,1,0.01366852,"","RPI","",23,1
1,1,0.013763773,"NZ_offense","RPI","",23,2
1,1,0.013837037,"Entry","RPI","",23,3
1,1,0.013867245,"Forecheck","RPI","",23,4
1,1,0.013871991,"Entry","RPI","",23,5
1,1,0.01392488,"","Colgate","",24,1
1,1,0.013962616,"Opponent_breakout","Colgate","",24,2
1,1,0.014006597,"NZ_offense","Colgate","",24,3
1,1,0.0140169,"","RPI","",24,1
1,1,0.01411296,"","Colgate","",25,1
1,1,0.014125,"Penalty","Colgate","",25,2
1,1,0.016265856,"Power_play","Colgate","",25,3
1,1,0.016277431,"Faceoff","Colgate","",25,4
1,1,0.016308449,"Offensive_zone","Colgate","",25,5
1,1,0.01631343,"","RPI","",25,1
1,1,0.016370139,"Opponent_breakout","RPI","",25,2
1,1,0.01639167,"","Colgate","",26,1
1,1,0.016437616,"Goalie_touch","Colgate","",26,2
1,1,0.016452662,"Breakout","Colgate","",26,3
1,1,0.01649294,"","RPI","",26,1
1,1,0.016507523,"Forecheck","RPI","",26,2
1,1,0.016510764,"Entry","RPI","",26,3
1,1,0.01660938,"","RPI","",26,4
1,1,0.016622685,"Opponent_breakout","RPI","",26,5
1,1,0.016634838,"NZ_offense","RPI","",26,6
1,1,0.01665995,"","RPI","",26,7
1,1,0.016705208,"Forecheck","RPI","",26,8
1,1,0.016706944,"Entry","RPI","",26,9
1,1,0.016759722,"Opponent_breakout","RPI","",26,10
1,1,0.01676389,"","Colgate","",27,1
1,1,0.016821644,"Goalie_touch","Colgate","",27,2
1,1,0.016844792,"Breakout","Colgate","",27,3
1,1,0.01686829,"","RPI","",27,1
1,1,0.016912269,"Entry","RPI","",27,2
1,1,0.017203356,"Faceoff","RPI","",27,3
1,1,0.017227431,"NZ_offense","RPI","",27,4
1,1,0.017239931,"Entry","RPI","",27,5
1,1,0.01725602,"","RPI","",27,6
1,1,0.017297454,"Offensive_zone","RPI","",27,7
1,1,0.01740278,"Shot_for","RPI","RPI",27,8
1,1,0.01763762,"Shot_for","RPI","RPI",27,9
1,1,0.0177397,"Shot_for","RPI","RPI",27,10
1,1,0.017998264,"Faceoff","RPI","",27,11
1,1,0.018034838,"Offensive_zone","RPI","",27,12
1,1,0.0180353,"","RPI","",27,13
1,1,0.01836736,"Shot_for","RPI","RPI",27,14
1,1,0.01848391,"Shot_for","RPI","RPI",27,15
1,1,0.018582523,"Opponent_breakout","RPI","",27,16
1,1,0.018634722,"Goalie_touch","RPI","",27,17
1,1,0.018659954,"Breakout","RPI","",27,18
1,1,0.018774421,"Forecheck","RPI","",27,19
1,1,0.018778819,"Entry","RPI","",27,20
1,1,0.018824074,"Offensive_zone","RPI","",27,21
1,1,0.01893218,"Shot_for","RPI","RPI",27,22
1,1,0.018938426,"Opponent_breakout","RPI","",27,23
1,1,0.01896979,"","Colgate","",28,1
1,1,0.019135532,"Breakout","Colgate","",28,2
1,1,0.019166898,"Entry","Colgate","",28,3
1,1,0.01917037,"","RPI","",28,1
1,1,0.01920463,"Offensive_zone","RPI","",28,2
1,1,0.01939236,"Shot_for","RPI","RPI",28,3
1,1,0.01942106,"","Colgate","",29,1
1,1,0.01944537,"","RPI","",29,1
1,1,0.019434722,"Giveaway","RPI","RPI",29,2
1,1,0.019448495,"Opponent_breakout","RPI","",29,3
1,1,0.019506481,"Goalie_touch","RPI","",29,4
1,1,0.019540162,"Breakout","RPI","",29,5
1,1,0.019595255,"Forecheck","RPI","",29,6
1,1,0.019598843,"Entry","RPI","",29,7
1,1,0.01965718,"","Colgate","",30,1
1,1,0.019671065,"Opponent_breakout","Colgate","",30,2
1,1,0.019733796,"Forecheck","Colgate","",30,3
1,1,0.01983206,"Offensive_zone","Colgate","",30,4
1,1,0.01983866,"","RPI","",30,1
